key,agreement,quote,response
"(1286, 6)",4,best way to create jobs has always been to go to war.,I think you are probably right.
"(141, 4)",4.833333333,Everything is made up of cells!,"Yes, every living thing is made up of cells."
"(658, 3)",4.8,Murder is ALWAYS illegal.,HEY!! We agree on something.
"(1248, 3)",4,Sounds like you are talking about a human being.,"Yes, as I've been debating about for the last four pages."
"(788, 4)",4.333333333,"Who said this:  ""I carried a concealed weapon. I made the determination that if somebody was going to try to take me out, I was going to take them with me.""   A) Marine sniper Carlos Hathcock B) NRA president Charleton Heston C) General Patton D) LA police chief Willie Williams E) Anti-gun Senator Fienstien     If you said the anti-gunner ""E"" you are correct. Many good citizens carry a gun for the same reason, but to the Senator from California, she should be exempt from the law.","Hillarious. I remember seeing that a while back. That's liberals for you, the laws they propose are for the 'peasants', not for them to obey. They, afterall, are better suited for making decisions like these than you. You need them to think for you.. to care for you.. cradle to grave.  You may also recall that famed anti-gunner Rosie O'Donnell has armed bodyguards but says you shouldn't have guns yourself. You cannot be trusted, afterall. And who was that writer who shot the kid in the hand that was swimming in his pool late one night? Carl something. Another anti-gunner who preaches 'do as I say, not as I do'.  Liberals.. LOL!"
"(715, 1)",4.2,"South Dakota's Legislature: Human Life Begins at Conception   Susan Jones, CNSNews.com Friday, Feb. 27, 2004   The South Dakota House on Thursday joined the state Senate in passing a bill that says human life begins at conception - something that would outlaw all abortions in South Dakota, except in cases where the mother's health or life were endangered.  Pro-abortion groups called the bill ""a direct assault on South Dakotans' rights,"" and pro-life advocates see it as a way of directly challenging the Supreme Court's 1973 Roe vs. Wade ruling that legalized abortion.  The bill's main sponsor, Republican state Rep. Matt McCaulley, called it the ""strongest, cleanest pro-life legislation"" passed by a state legislature since 1973.   Equal Protection  He and other supporters say unborn babies deserve equal protection under the 14th Amendment, and they say the state is within its rights to expand the definition of ""persons"" to include unborn babies.  ""If this is the case that goes to the Supreme Court to get them to overturn Roe versus Wade, so be it,"" a wire report quoted McCaulley as saying.  South Dakota's pro-life Republican Gov. Mike Rounds has not yet said whether he would sign the bill. He has until March 12 to make up his mind.  The bill makes it a crime to perform abortions. The penalties for doing so include up to five years in prison and a $5,000 fine, unless a mother's life is in danger. The bill does not include exceptions for rape or incest.   McCaulley estimated that about 800 abortions are performed every year in South Dakota.  'Be Very Worried'  Every American who ""values a woman's right to choose"" should be worried, said Kate Michelman, president of NARAL Pro-Choice America, in a press release.  Michelman said the bill, if upheld by the courts, could endanger the health of women, send doctors to prison for ""doing what is in the best medical interests of their patients,"" and insert government into personal decisions to the point where some widely used forms of birth control might be banned.  ""The anti-choice movement has not been shy about its two-pronged strategy for overturning Roe v. Wade,"" Michelman said.   She described the strategy as passing bills like the one in South Dakota, then forcing them into the court system and ""hoping that George Bush has the opportunity to put new justices on the Supreme Court who will take the opportunity that these bills provide them to take away reproductive freedom.""  NARAL Pro-Choice America describes itself as the ""leading national advocate of personal privacy and a woman's right to choose."".",YES!! Go South Dakota!! emoticon_xbouncer.
"(89, 4)",4.5,"If marriage is so sacred socially, then heterosexuals who get married should never divorce, and quickie marriages that celebrities have all of the time shouldn't be allowed (Not to mention things like Joe Millionaire and the Bachelorette). This shouldn't be a social issue because if it is, it's allowing the government to make individuals to adhere to a set of moral codes that only a select group believes.   The government should approach this as a legal matter, which it is, and allow the legally binding marriage of homosexuals which affords them the same benefits that every other couple who pays 80 bucks to a local courthouse can enjoy. If you have a problem with it socially, then you probably also have a problem with homosexuals in the first place, and thats a problem that you need to deal with on your own. Otherwise, keep your mouth shut and let the government dole out legal unions (or dare I say ""marriages"") to same sex couples and let that be the end of it. If the word marriage bothers you so much because of the religious background of the word, get over it. The word is a useful way to describe the legal binding of any two individuals who may have a different faith than the one where some claim the word's definition is derived from. Atheist couples get married in courthouses because ""marriage"" in the legal sense has no religious affiliation. So, this being a purely legal matter, there should be no question that any two people can enjoy this legal right.",I COMPLETELY AGREE.  Waxy.
"(1384, 4)",5,"Micheal Moore tends to manipulate people, just in a different way than the President or the media does.. not with fear, with knowledge and anger.",well said. i agree 100%.
"(493, 6)",4.5,After all these years it still hurts.,Certainly it does.
"(183, 4)",4.333333333,These so-called pro-lifers don't care if women die because of forced pregnancies.,Of course they don't care. Being selfish is a cornerstone of who they are. They think that all women are invisible emoticon_emb.
